block,cohort,task,subject(s),subject_BoxA,subject_BoxB,date,time,mouseID
1198-none-231203-163300,cohort-1,group,Subject: 1198-none,1198,none,Date: 12/03/2023,Time: 4:33:07pm,1198
Raw data for _405A :,,,,,,,,
Time(sec),GCaMP,ISOS,TTL value,Bits,,,,
0,0.027601857,0.022424938,,,,,,
0.0098304,0.029236557,0.023197273,,,,,,
0.0196608,0.030556973,0.025013553,,,,,,
0.029491199,0.03156722,0.027898511,,,,,,
0.039321599,0.032215662,0.031478342,,,,,,
0.049151999,0.032390792,0.035165358,,,,,,
0.058982399,0.03198389,0.038364913,,,,,,
0.068812799,0.031190524,0.040620808,,,,,,
0.078643198,0.031771526,0.041759342,,,,,,
0.088473598,0.041924015,0.042550195,1,0,,,,
0.098303998,0.092744507,0.050292984,,,,,,
0.108134398,0.263375193,0.094549015,,,,,,
0.117964798,0.709873557,0.218940184,,,,,,
0.127795197,1.697752118,0.475220114,,,,,,
0.137625597,3.614046097,0.93194443,2,1,,,,
0.147455997,6.949801922,1.668692589,,,,,,
0.157286397,12.25559902,2.767188072,,,,,,
0.167116797,20.08199883,4.30257082,,,,,,
0.176947196,30.91737938,6.335290909,,,,,,
0.186777596,45.13266754,8.903868675,3,0,,,,
0.196607996,62.9373703,12.0187788,,,,,,
0.206438396,84.34882355,15.65904999,,,,,,
0.216268796,109.1776047,19.77157211,,,,,,
0.226099195,137.025528,24.27236748,,,,,,
0.235929595,167.3132629,29.05059242,4,2,,,,
0.245759995,199.3059387,33.9782486,,,,,,
0.255590395,232.1594391,38.91540146,,,,,,
0.265420795,264.9711304,43.71734238,,,,,,
0.275251194,296.8415527,48.24208832,,,,,,
0.285081594,326.9105225,52.36332703,5,0,,,,
0.294911994,354.4087524,55.97827911,,,,,,
0.304742394,378.7033081,59.00691605,,,,,,
0.314572794,399.3149109,61.39537048,,,,,,
0.324403194,415.9417419,63.12056351,,,,,,
0.334233593,428.4818115,64.18455505,6,1,,,,
0.344063993,436.9554749,64.61726379,,,,,,
0.353894393,441.5674744,64.47801971,,,,,,
0.363724793,442.7029724,63.84526062,,,,,,
0.373555193,440.8563232,62.81054306,,,,,,
0.383385592,436.5840759,61.47398376,7,0,,,,
0.393215992,430.4755249,59.93977356,,,,,,
0.403046392,423.131073,58.31102371,,,,,,
0.412876792,415.1137085,56.68364716,,,,,,
0.422707192,406.9536438,55.14232254,,,,,,
0.432537591,399.1251221,53.75786972,8,3,,,,
0.442367991,392.0270996,52.58575821,,,,,,
0.452198391,385.961853,51.66304779,,,,,,
0.462028791,381.1203003,51.00799942,,,,,,
0.471859191,377.5812073,50.61971283,,,,,,
0.48168959,375.3506775,50.48423386,9,0,,,,
0.49151999,374.398407,50.58063126,,,,,,
0.50135039,374.5925293,50.87077713,,,,,,
0.51118079,375.7341919,51.3103447,,,,,,
0.52101119,377.5918274,51.85225677,,,,,,
0.530841589,379.9295654,52.45051956,10,1,,,,
0.540671989,382.5204468,53.06265259,,,,,,
0.550502389,385.1488342,53.65089798,,,,,,
0.560332789,387.6153564,54.18306732,,,,,,
0.570163189,389.7494812,54.63445663,,,,,,
0.579993588,391.4255066,54.98817444,11,0,,,,
0.589823988,392.5635681,55.23588562,,,,,,
0.599654388,393.1404114,55.38023758,,,,,,
0.609484788,393.1386719,55.42481995,,,,,,
0.619315188,392.569519,55.37302399,,,,,,
0.629145587,391.4591064,55.23071671,12,2,,,,
0.638975987,389.8891907,55.01831436,,,,,,
0.648806387,387.9920654,54.76263809,,,,,,
0.658636787,385.8922424,54.4870224,,,,,,
0.668467187,383.6906128,54.2076149,,,,,,
0.678297586,381.4713135,53.93262863,13,0,,,,
0.688127986,379.3059692,53.67671204,,,,,,
0.697958386,377.2865906,53.45404816,,,,,,
0.707788786,375.4851074,53.27095413,,,,,,
0.717619186,373.937561,53.1338501,,,,,,
0.727449585,372.6446533,53.04187393,14,1,,,,
0.737279985,371.5985107,52.99250412,,,,,,
0.747110385,370.7814941,52.98378754,,,,,,
0.756940785,370.1751404,53.01408005,,,,,,
0.766771185,369.763092,53.0800209,,,,,,
0.776601584,369.5314026,53.1665802,,,,,,
0.786431984,369.4461975,53.25921631,15,0,,,,
0.796262384,369.4459534,53.35152054,,,,,,
0.806092784,369.4612122,53.44272995,,,,,,
0.815923184,369.4292908,53.52420807,,,,,,
0.825753583,369.3179932,53.59115601,,,,,,
0.835583983,369.12146,53.64178467,16,4,,,,
0.845414383,368.835907,53.67477036,,,,,,
0.855244783,368.4585571,53.68954849,,,,,,
0.865075183,367.9888611,53.68580627,,,,,,
0.874905583,367.4278259,53.66336441,,,,,,
0.884735982,366.7776794,53.62220383,17,0,,,,
0.894566382,366.0428772,53.56636429,,,,,,
0.904396782,365.2303772,53.50120163,,,,,,
0.914227182,364.3765564,53.4295845,,,,,,
0.924057582,363.5126953,53.35361099,,,,,,
0.933887981,362.6551208,53.27494049,18,1,,,,
0.943718381,361.8344421,53.19469452,,,,,,
0.953548781,361.0631409,53.11363602,,,,,,
0.963379181,360.3646545,53.03243637,,,,,,
0.973209581,359.7404785,52.95261765,,,,,,
0.98303998,359.1887512,52.88153839,19,0,,,,
0.99287038,358.7054443,52.81869125,,,,,,
1.00270078,358.2843628,52.76218414,,,,,,
1.01253118,357.9171448,52.71039963,,,,,,
1.02236158,357.5941467,52.66194534,,,,,,
1.032191979,357.3049011,52.61565399,20,2,,,,
1.042022379,357.0393372,52.57076645,,,,,,
1.051852779,356.7891235,52.52668762,,,,,,
