Video,Event,Start_time,End Time,Start_frame,End_frame,Bout_time
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,0,0.05,0,0,0.05
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,6.75,7.25,135,144,0.5
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,7.65,9.4,153,187,1.75
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,10.85,12.9,217,257,2.05
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,14.5,15.1,290,301,0.6
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,15.8,21.7,316,433,5.9
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,22.4,22.85,448,456,0.45
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,24.35,25.15,487,502,0.8
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,26.7,29.5,534,589,2.8
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,30.65,35.35,613,706,4.7
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,36,36.85,720,736,0.85
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,39.9,43.35,798,866,3.45
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,50.05,51.5,1001,1029,1.45
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,52.5,56.85,1050,1136,4.35
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,57.45,61.3,1149,1225,3.85
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,62.35,62.9,1247,1257,0.55
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,63.85,67.85,1277,1356,4
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,68.3,70.3,1366,1405,2
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,72.3,73.65,1446,1472,1.35
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,74.45,75.3,1489,1505,0.85
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,77.2,79.45,1544,1588,2.25
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,85.4,87.8,1708,1755,2.4
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,88.7,89.35,1774,1786,0.65
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,90.2,92.7,1804,1853,2.5
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,approach,117.3,117.85,2346,2356,0.55
