block,cohort,task,subject(s),subject_BoxA,subject_BoxB,date,time,mouseID,group,timestamp,behav,zscore_win
1130-none-231201-171233,cohort-1,group,Subject: 1130-none,1130,none,Date: 12/01/2023,Time: 5:12:40pm,1130,msh-vgat,252.0,being_approached,"[-0.42468734 -0.1137917  -0.4463543  -1.0354461  -1.22353118 -0.907576
 -0.70127109 -0.51279654 -0.02828331 -0.18520729 -0.77789169 -0.75691035
 -0.62883631 -0.73749882 -0.8669636  -0.57353767 -0.35603437 -0.65809909
 -0.89921703 -0.99978517 -1.02308443 -1.32665772 -1.85652897 -2.51322851
 -2.65609892 -1.93598084 -1.37786484 -1.26507357 -1.07431955 -0.71274503
 -0.20930421  0.04818027  0.34339783  0.8941402   0.98624462  0.84177956
  1.08034146  1.29431562  1.04811129  0.39990661 -0.36482988 -0.53434114
 -0.32004127  0.05875149  0.10265817  0.312072    0.69855897  0.51685434
  0.30934523 -0.04349425 -0.22192722  0.21233673  0.33581531  0.12672013
 -0.12487112 -0.1962558   0.10073914  0.40551377  0.04840932 -0.34463576
 -0.13885486 -0.29092868 -0.4585151  -0.11634964 -0.30490285 -0.50687647
 -0.56957712 -0.72347981 -0.75821625 -0.44977883 -0.35030914 -0.32337394
  0.04640522  0.06582531 -0.13189699 -0.07819902  0.01689931 -0.23319998
 -0.7346086  -1.20352103 -1.24548489 -1.09466471 -0.91271956 -0.43797658
 -0.37861405 -1.21058896 -1.48446904 -0.88416031 -1.09536575 -1.23888084
 -0.78819275 -0.5660019  -0.04601575  0.02815543 -0.55230917 -0.93332997
 -1.09432843 -1.06608527 -0.99616611 -0.72332708 -0.80746212 -0.68700467
 -0.28681976 -0.39181186 -0.66008375 -0.97762071 -0.87441683 -0.7689241
 -0.18500322 -0.15505149 -0.88488268 -1.08899265 -0.74928772 -0.4855869
 -0.53789644 -0.25936599  0.52502479  0.61414612  0.06087761  0.14830987
  0.21142135 -0.42543277 -0.90395565 -1.06270461 -0.94829864 -0.62803104
 -0.35576596  0.25246177  1.01947519  1.40205804  1.20035766  1.11965399
  0.9401629   0.52692362  0.65980804  1.05138237  1.22041368  1.34044102
  1.53604241  1.43170151  1.47440648  1.695539    1.42898292  0.50354794
 -0.01343751 -0.84335769 -1.23093979 -0.77298043 -0.10320346  0.44972152
  0.86353921  0.67910653  0.0054055  -0.28848904]"
1130-none-231201-171233,cohort-1,group,Subject: 1130-none,1130,none,Date: 12/01/2023,Time: 5:12:40pm,1130,msh-vgat,266.8,approach,"[ 6.79106531e-01  5.40550154e-03 -2.88489040e-01 -2.53389792e-01
 -3.64124066e-01 -2.20462355e-01  6.90262908e-01  1.17705431e+00
  1.00483909e-01 -8.78558719e-01 -5.11669338e-01  2.28083409e-01
  1.10939232e-01 -1.97354610e-01  2.62793524e-02 -1.44838346e-01
 -7.16512198e-01 -6.95055302e-01 -1.41574075e-01  2.70581488e-01
  1.21281328e-01 -1.10609597e+00 -1.70695677e+00 -1.58625442e+00
 -1.18495023e+00 -8.70657536e-01 -9.70205687e-01 -6.19602577e-01
 -2.00113706e-01  2.67286959e-01  9.60074982e-01  8.39267704e-01
  7.45172590e-01  9.02398181e-01  5.44943383e-01  1.60720861e-01
  5.00477819e-01  3.45773478e-02 -6.79832081e-01 -7.46548330e-01
 -5.67712501e-01 -2.63061708e-01 -3.44427194e-01 -7.92168372e-01
 -7.32166283e-01 -1.64096173e-01 -6.38210832e-02 -1.07083039e-01
  1.62797121e-01  2.35386710e-01  3.84055959e-01  2.26407536e-01
 -3.89950219e-01 -5.74794070e-01 -6.08669555e-01 -8.30635540e-01
 -1.05447257e+00 -1.22670788e+00 -6.26278711e-01 -9.00528563e-02
  1.07817877e-01  1.88577177e-02 -7.49180206e-01 -1.06744878e+00
 -1.27734610e+00 -1.43257677e+00 -1.28259439e+00 -1.14194598e+00
 -5.95220951e-01 -3.63300377e-01 -3.98862446e-01 -5.88846074e-01
 -7.49896464e-01 -5.23533284e-01 -4.98428613e-01 -1.01114330e+00
 -1.57637785e+00 -1.74648784e+00 -1.18638988e+00 -5.93618559e-04
  6.43532757e-01  1.43203507e+00  1.47774116e+00  8.75927886e-01
  9.99268969e-01  1.14705609e+00  1.42358299e+00  1.82488600e+00
  1.98196784e+00  2.49281542e+00  2.81815584e+00  1.82099121e+00
  5.31716830e-01 -9.01426045e-02 -4.94882918e-01 -9.79153260e-01
 -1.36709907e+00 -8.63009630e-01 -1.34560668e-01 -3.16613627e-01
 -2.79699858e-01 -1.10426481e-01  7.70800655e-01  1.85903088e+00
  1.98510661e+00  2.00877345e+00  1.82003056e+00  1.36575044e+00
  1.21227376e+00  1.49940880e+00  1.62465393e+00  1.12905905e+00
  9.31065453e-01  7.11409480e-01  2.07227538e-01 -2.25763334e-01
 -3.07870689e-01 -1.89337899e-03  1.20440092e-01  1.40616127e-01
  9.28818950e-02  7.54330393e-02  1.23729248e-01  3.33015577e-01
  7.72398922e-01  5.27637594e-01  1.44319034e-01  6.59209487e-01
  6.70343077e-01  2.26661276e-01 -4.89916935e-02 -1.83916671e-02
 -1.96760582e-01 -2.60956643e-01  3.05274051e-02  1.90484006e-01
  1.63786765e-01  1.33504378e-01  1.47922645e-03  9.61959045e-02
  1.87322069e-01 -1.27202715e-01 -1.60548003e-01 -6.20125791e-02
  1.31996612e-01  3.75629487e-01  2.38113578e-01  3.41101882e-01
  3.33251214e-01 -6.98662697e-03  1.18776620e-01  2.20770759e-01
  2.05809416e-01  2.57196508e-01]"
1130-none-231201-171233,cohort-1,group,Subject: 1130-none,1130,none,Date: 12/01/2023,Time: 5:12:40pm,1130,msh-vgat,290.35,approach,"[ 1.3087658   1.86172382  1.65808206  0.87722633  1.1382796   1.77509314
  1.65503072  0.56768302 -0.10954376  0.10605175  0.45098134  0.23074554
  0.20121197  1.18630482  2.04428178  2.82820038  3.07185502  2.42434085
  1.46627881  0.66309978  0.574025    0.28220693 -0.24972067 -0.1375844
  0.38866012  0.53548185  0.53439993  0.74773649  0.84656126  0.69336364
  0.3498166  -0.09190575 -0.47414917 -1.1184449  -1.34498752 -0.80411207
 -0.55425822 -0.80527551 -1.09416384 -0.95916128 -0.81576565 -1.17003287
 -1.49278121 -1.73632795 -1.79572998 -1.46217915 -0.9674585  -0.42213564
 -0.03892662  0.05434406 -0.35360534 -1.17353326 -1.41082231 -1.21827814
 -1.74213565 -1.83680242 -0.75991482  0.04853576  0.01958546 -0.51956109
 -0.53787748 -0.20980276 -0.19472521 -0.19879708 -0.24109993  0.1784094
  0.82543721  0.68772764  0.39553672  0.40684365  0.43695924  0.84609572
  0.94455775  0.31509575 -0.33027111 -0.46803771 -0.4883391  -0.41839994
 -0.434811   -0.7661032  -0.52385141 -0.49220933 -0.7187436  -0.3686414
  0.03177235  0.29438412  0.64626792  0.55967327  0.18235867  0.08200986
  0.37644752  0.2583858  -0.49146232 -1.1091314  -0.71098572 -0.20074239
 -0.33121829 -0.70633531 -0.86817004  0.0645645   0.73327357  0.1749813
 -0.32375987 -0.66127247 -1.09888887 -0.96504853 -0.55226498  0.12392254
  1.15523848  1.93685965  2.30317396  1.56596069  0.68128627  0.81602177
  1.21592426  1.54230596  1.12415895  0.45467643  0.46698733  0.55974329
  0.12296758 -0.28688108 -0.49448887 -0.58731511 -0.20723281  0.33559381
  0.54754466  0.81125501  0.67844692  0.6048384   0.88723625  1.17480859
  1.25170648  1.08137476  1.20616555  1.66572056  1.9546461   1.73888433
  1.77827732  2.0702265   1.67951366  1.05623193  0.77179466  0.88071795
  1.25972772  1.23711581  0.99926706  0.47023788 -0.20172818 -0.41058953
 -0.12461114  0.06400614 -0.17173644 -0.42594219]"
1130-none-231201-171233,cohort-1,group,Subject: 1130-none,1130,none,Date: 12/01/2023,Time: 5:12:40pm,1130,msh-vgat,295.75,approach,"[-1.83680242 -0.75991482  0.04853576  0.01958546 -0.51956109 -0.53787748
 -0.20980276 -0.19472521 -0.19879708 -0.24109993  0.1784094   0.82543721
  0.68772764  0.39553672  0.40684365  0.43695924  0.84609572  0.94455775
  0.31509575 -0.33027111 -0.46803771 -0.4883391  -0.41839994 -0.434811
 -0.7661032  -0.52385141 -0.49220933 -0.7187436  -0.3686414   0.03177235
  0.29438412  0.64626792  0.55967327  0.18235867  0.08200986  0.37644752
  0.2583858  -0.49146232 -1.1091314  -0.71098572 -0.20074239 -0.33121829
 -0.70633531 -0.86817004  0.0645645   0.73327357  0.1749813  -0.32375987
 -0.66127247 -1.09888887 -0.96504853 -0.55226498  0.12392254  1.15523848
  1.93685965  2.30317396  1.56596069  0.68128627  0.81602177  1.21592426
  1.54230596  1.12415895  0.45467643  0.46698733  0.55974329  0.12296758
 -0.28688108 -0.49448887 -0.58731511 -0.20723281  0.33559381  0.54754466
  0.81125501  0.67844692  0.6048384   0.88723625  1.17480859  1.25170648
  1.08137476  1.20616555  1.66572056  1.9546461   1.73888433  1.77827732
  2.0702265   1.67951366  1.05623193  0.77179466  0.88071795  1.25972772
  1.23711581  0.99926706  0.47023788 -0.20172818 -0.41058953 -0.12461114
  0.06400614 -0.17173644 -0.42594219 -0.64292264 -0.67523227 -0.36331992
 -0.21507283 -0.1701558  -0.46992487 -1.10109128 -1.23038941 -1.05600408
 -0.33957993  0.11376194 -0.46270828 -0.65754341 -0.62591007 -0.03623495
  1.18520068  1.81265536  1.37639415  0.72536791  0.20179753  0.11631222
  0.42084457  0.89856899  1.28791948  1.78656656  2.14320244  2.10487441
  2.15379647  2.09481748  1.58579541  0.56979175  0.17972985  0.60211064
  0.9816493   1.3464408   1.60113123  1.65623344  1.61564973  1.54395318
  1.32466716  1.16516256  0.75894506  0.67947965  0.85053243  0.33605697
 -0.54919755 -0.87586503 -0.94903059 -0.58378708  0.2985526   0.49196673
  0.66503196  0.93978869  0.67396144  0.70325961]"
1130-none-231201-171233,cohort-1,group,Subject: 1130-none,1130,none,Date: 12/01/2023,Time: 5:12:40pm,1130,msh-vgat,298.9,approach,"[ 5.59673272e-01  1.82358670e-01  8.20098620e-02  3.76447520e-01
  2.58385802e-01 -4.91462318e-01 -1.10913140e+00 -7.10985724e-01
 -2.00742395e-01 -3.31218292e-01 -7.06335311e-01 -8.68170044e-01
  6.45644974e-02  7.33273574e-01  1.74981301e-01 -3.23759869e-01
 -6.61272474e-01 -1.09888887e+00 -9.65048527e-01 -5.52264984e-01
  1.23922543e-01  1.15523848e+00  1.93685965e+00  2.30317396e+00
  1.56596069e+00  6.81286268e-01  8.16021767e-01  1.21592426e+00
  1.54230596e+00  1.12415895e+00  4.54676434e-01  4.66987332e-01
  5.59743295e-01  1.22967580e-01 -2.86881075e-01 -4.94488868e-01
 -5.87315109e-01 -2.07232813e-01  3.35593807e-01  5.47544656e-01
  8.11255010e-01  6.78446918e-01  6.04838404e-01  8.87236251e-01
  1.17480859e+00  1.25170648e+00  1.08137476e+00  1.20616555e+00
  1.66572056e+00  1.95464610e+00  1.73888433e+00  1.77827732e+00
  2.07022650e+00  1.67951366e+00  1.05623193e+00  7.71794659e-01
  8.80717946e-01  1.25972772e+00  1.23711581e+00  9.99267063e-01
  4.70237876e-01 -2.01728183e-01 -4.10589532e-01 -1.24611145e-01
  6.40061350e-02 -1.71736439e-01 -4.25942193e-01 -6.42922638e-01
 -6.75232273e-01 -3.63319921e-01 -2.15072831e-01 -1.70155800e-01
 -4.69924872e-01 -1.10109128e+00 -1.23038941e+00 -1.05600408e+00
 -3.39579929e-01  1.13761942e-01 -4.62708276e-01 -6.57543409e-01
 -6.25910069e-01 -3.62349531e-02  1.18520068e+00  1.81265536e+00
  1.37639415e+00  7.25367906e-01  2.01797527e-01  1.16312215e-01
  4.20844567e-01  8.98568991e-01  1.28791948e+00  1.78656656e+00
  2.14320244e+00  2.10487441e+00  2.15379647e+00  2.09481748e+00
  1.58579541e+00  5.69791749e-01  1.79729854e-01  6.02110638e-01
  9.81649304e-01  1.34644080e+00  1.60113123e+00  1.65623344e+00
  1.61564973e+00  1.54395318e+00  1.32466716e+00  1.16516256e+00
  7.58945064e-01  6.79479648e-01  8.50532431e-01  3.36056967e-01
 -5.49197550e-01 -8.75865034e-01 -9.49030587e-01 -5.83787076e-01
  2.98552596e-01  4.91966726e-01  6.65031960e-01  9.39788687e-01
  6.73961441e-01  7.03259608e-01  9.13673814e-01  1.16032506e+00
  1.16762970e+00  5.37568695e-01 -2.71133337e-01 -4.29033523e-01
 -3.44005996e-01 -6.36804044e-01 -3.75201025e-01 -1.12461250e-01
 -5.75585147e-01 -4.11382206e-01 -7.45601286e-02  5.02387014e-04
  7.71457462e-01  2.03212719e-01 -1.03400264e+00 -9.69136681e-01
 -4.10771945e-01 -2.45341002e-01 -7.49138097e-01 -1.01005619e+00
 -1.36252895e-01  7.27981933e-01  9.99635319e-01  9.56651567e-01
  4.71954571e-01  3.66473978e-01  1.62201198e-01 -3.72082301e-01
 -3.66438669e-01  3.19736366e-01]"
1130-none-231201-171233,cohort-1,group,Subject: 1130-none,1130,none,Date: 12/01/2023,Time: 5:12:40pm,1130,msh-vgat,308.75,approach,"[ 9.81649304e-01  1.34644080e+00  1.60113123e+00  1.65623344e+00
  1.61564973e+00  1.54395318e+00  1.32466716e+00  1.16516256e+00
  7.58945064e-01  6.79479648e-01  8.50532431e-01  3.36056967e-01
 -5.49197550e-01 -8.75865034e-01 -9.49030587e-01 -5.83787076e-01
  2.98552596e-01  4.91966726e-01  6.65031960e-01  9.39788687e-01
  6.73961441e-01  7.03259608e-01  9.13673814e-01  1.16032506e+00
  1.16762970e+00  5.37568695e-01 -2.71133337e-01 -4.29033523e-01
 -3.44005996e-01 -6.36804044e-01 -3.75201025e-01 -1.12461250e-01
 -5.75585147e-01 -4.11382206e-01 -7.45601286e-02  5.02387014e-04
  7.71457462e-01  2.03212719e-01 -1.03400264e+00 -9.69136681e-01
 -4.10771945e-01 -2.45341002e-01 -7.49138097e-01 -1.01005619e+00
 -1.36252895e-01  7.27981933e-01  9.99635319e-01  9.56651567e-01
  4.71954571e-01  3.66473978e-01  1.62201198e-01 -3.72082301e-01
 -3.66438669e-01  3.19736366e-01  9.34649728e-01  9.81519050e-01
  1.85269107e-01 -4.35460174e-01 -2.14101164e-01 -3.91731169e-01
 -1.68557570e-01  8.47714663e-01  9.64933316e-01  3.04200517e-01
 -6.12447636e-02  1.42837185e-01  5.27655240e-01  5.00148311e-01
  5.88972427e-01  9.56844613e-01  8.74557339e-01  8.63219249e-01
  3.24221230e-01 -5.68499599e-01 -7.47419204e-01 -2.90771872e-01
  5.35435664e-01  1.23179968e+00  1.15502419e+00  3.00878119e-01
 -7.26687330e-01 -3.34699474e-01 -2.29432925e-02 -9.51559159e-01
 -1.49430190e+00 -9.83346507e-01 -2.54440769e-01  4.35957159e-02
 -2.65420602e-01 -1.03618128e+00 -1.42817642e+00 -1.60331413e+00
 -2.22846485e+00 -2.98173555e+00 -2.74951026e+00 -2.17063934e+00
 -2.43189846e+00 -2.19981475e+00 -2.46568658e+00 -3.16726909e+00
 -2.33925166e+00 -1.22528035e+00 -9.10978950e-01 -9.10791352e-01
 -7.94436735e-01 -3.43236188e-01 -2.32664884e-01 -2.01504300e-01
  1.76824037e-01  1.81875670e-01  1.67653955e-02  1.46694422e-01
  9.74944610e-01  1.53197831e+00  1.51342856e+00  1.01605194e+00
  4.64130956e-01  6.83908175e-01  6.27975545e-01 -3.21739869e-01
 -5.56326031e-01  2.86795083e-01  4.59056381e-01  4.42263406e-01
 -1.39127317e-01 -7.13019121e-01  1.74296232e-01  1.07372023e+00
  6.81212250e-01  1.27542756e-01  1.92342457e-01  8.68513599e-02
 -5.03636932e-02 -8.16338273e-02 -6.45967619e-01 -8.13991698e-01
 -3.30093344e-01 -8.86315373e-02 -2.06833470e-01 -1.44869726e-01
  3.99192435e-01  5.60229744e-01  2.89167851e-01  1.46411036e-01
  9.40656204e-02  4.49464070e-03 -5.97017859e-03 -1.89375691e-01
 -1.45816917e-01  4.32384395e-02  2.61579786e-01  3.57494559e-01
 -1.42473077e-01  9.09337873e-02]"
1130-none-231201-171233,cohort-1,group,Subject: 1130-none,1130,none,Date: 12/01/2023,Time: 5:12:40pm,1130,msh-vgat,328.15,approach,"[-0.35451057 -0.51850024 -0.28263083 -0.24197366 -0.45408859 -0.47774662
 -0.39903039 -0.44834011 -0.56280313 -0.69745249 -0.95676514 -1.10224058
 -1.23077898 -1.1714267  -0.6248113  -0.63748531 -0.68686649 -0.90433937
 -1.12917789 -0.80491694 -0.82201079 -1.10359359 -0.77212124 -0.1887888
 -0.40481499 -0.66133989 -0.62685284 -1.00852849 -1.40613579 -1.11273191
 -0.71009917 -0.83742694 -1.03189939 -1.18142919 -1.29285613 -1.16810337
 -0.930988   -0.56185162 -0.17382048  0.30315556  0.39948508  0.32632042
  0.21584469 -0.40754686 -1.29923801 -1.91442159 -2.02131821 -1.51222813
 -0.66304406 -0.64539308 -1.23225468 -1.60847486 -1.97026542 -2.26409481
 -2.26975506 -2.09367677 -1.81084878 -1.57388908 -1.04013495 -0.30742855
  0.18326047  0.11230732 -0.2392572  -0.96773426 -1.56263097 -0.52914653
  1.00841054  1.09777543  0.56772784  0.72775585  0.9182037   0.58555834
  0.07554767 -0.29991823 -0.90761101 -0.95325483 -0.33052502  0.68315057
  0.80672198  0.18901763  0.13962294  0.4143605   0.52634469  0.47208359
  0.08832068 -0.7901299  -1.26827558 -1.54534833 -1.8972869  -1.97649654
 -2.01010526 -2.14953539 -2.39762474 -2.04359071 -0.9988068  -0.1281781
  0.54604293  1.18329451  0.64865064 -0.09763669  0.63867031  1.48320492
  1.63945243  1.3743666   1.0801373   0.5649694   0.19300451  0.08568146
  0.1403709  -0.06033477 -0.62120391 -1.01596043 -0.05154328  1.00838188
  0.86837974  1.1465216   1.42942854  1.0086439   0.56954172  0.05133614
 -0.817297   -1.49626124 -1.55388479 -1.23198674 -0.85219754 -0.42333148
 -0.20542879  0.06313338 -0.60013409 -1.61398245 -2.44563466 -2.40217492
 -1.0503118  -0.04886732  0.01063069 -0.31137874 -0.45891198 -0.99110555
 -1.23472115 -0.42858678  0.19244772  0.33379486  0.38336711 -0.01680533
 -0.15711913  0.11926395 -0.01855598 -0.18326266 -0.1217446  -0.15635283
 -0.45945325 -0.70465659 -0.79454372 -0.75245178]"
1130-none-231201-171233,cohort-1,group,Subject: 1130-none,1130,none,Date: 12/01/2023,Time: 5:12:40pm,1130,msh-vgat,332.45,approach,"[-0.40754686 -1.29923801 -1.91442159 -2.02131821 -1.51222813 -0.66304406
 -0.64539308 -1.23225468 -1.60847486 -1.97026542 -2.26409481 -2.26975506
 -2.09367677 -1.81084878 -1.57388908 -1.04013495 -0.30742855  0.18326047
  0.11230732 -0.2392572  -0.96773426 -1.56263097 -0.52914653  1.00841054
  1.09777543  0.56772784  0.72775585  0.9182037   0.58555834  0.07554767
 -0.29991823 -0.90761101 -0.95325483 -0.33052502  0.68315057  0.80672198
  0.18901763  0.13962294  0.4143605   0.52634469  0.47208359  0.08832068
 -0.7901299  -1.26827558 -1.54534833 -1.8972869  -1.97649654 -2.01010526
 -2.14953539 -2.39762474 -2.04359071 -0.9988068  -0.1281781   0.54604293
  1.18329451  0.64865064 -0.09763669  0.63867031  1.48320492  1.63945243
  1.3743666   1.0801373   0.5649694   0.19300451  0.08568146  0.1403709
 -0.06033477 -0.62120391 -1.01596043 -0.05154328  1.00838188  0.86837974
  1.1465216   1.42942854  1.0086439   0.56954172  0.05133614 -0.817297
 -1.49626124 -1.55388479 -1.23198674 -0.85219754 -0.42333148 -0.20542879
  0.06313338 -0.60013409 -1.61398245 -2.44563466 -2.40217492 -1.0503118
 -0.04886732  0.01063069 -0.31137874 -0.45891198 -0.99110555 -1.23472115
 -0.42858678  0.19244772  0.33379486  0.38336711 -0.01680533 -0.15711913
  0.11926395 -0.01855598 -0.18326266 -0.1217446  -0.15635283 -0.45945325
 -0.70465659 -0.79454372 -0.75245178 -0.65804829 -0.35682717 -0.20861171
 -0.03072741 -0.04322497 -0.40227113 -0.6939914  -0.73916685 -0.67169744
 -0.56929642 -1.1472731  -1.94403987 -2.19933831 -1.91252284 -1.33554205
 -1.40810865 -1.727476   -1.55107221 -1.86298311 -2.65162504 -3.10159122
 -3.2976758  -3.25372933 -2.24814664 -1.21496973 -0.85593055 -0.60430561
 -0.69827118 -1.10893242 -1.41886899 -1.36385303 -1.18184931 -1.03179223
 -0.90525978 -0.42291752  0.00718115 -0.34811511 -0.77641625 -0.66621766
 -0.57478023 -0.56628183 -0.66481066 -0.62048002]"
1130-none-231201-171233,cohort-1,group,Subject: 1130-none,1130,none,Date: 12/01/2023,Time: 5:12:40pm,1130,msh-vgat,336.35,approach,"[ 0.47208359  0.08832068 -0.7901299  -1.26827558 -1.54534833 -1.8972869
 -1.97649654 -2.01010526 -2.14953539 -2.39762474 -2.04359071 -0.9988068
 -0.1281781   0.54604293  1.18329451  0.64865064 -0.09763669  0.63867031
  1.48320492  1.63945243  1.3743666   1.0801373   0.5649694   0.19300451
  0.08568146  0.1403709  -0.06033477 -0.62120391 -1.01596043 -0.05154328
  1.00838188  0.86837974  1.1465216   1.42942854  1.0086439   0.56954172
  0.05133614 -0.817297   -1.49626124 -1.55388479 -1.23198674 -0.85219754
 -0.42333148 -0.20542879  0.06313338 -0.60013409 -1.61398245 -2.44563466
 -2.40217492 -1.0503118  -0.04886732  0.01063069 -0.31137874 -0.45891198
 -0.99110555 -1.23472115 -0.42858678  0.19244772  0.33379486  0.38336711
 -0.01680533 -0.15711913  0.11926395 -0.01855598 -0.18326266 -0.1217446
 -0.15635283 -0.45945325 -0.70465659 -0.79454372 -0.75245178 -0.65804829
 -0.35682717 -0.20861171 -0.03072741 -0.04322497 -0.40227113 -0.6939914
 -0.73916685 -0.67169744 -0.56929642 -1.1472731  -1.94403987 -2.19933831
 -1.91252284 -1.33554205 -1.40810865 -1.727476   -1.55107221 -1.86298311
 -2.65162504 -3.10159122 -3.2976758  -3.25372933 -2.24814664 -1.21496973
 -0.85593055 -0.60430561 -0.69827118 -1.10893242 -1.41886899 -1.36385303
 -1.18184931 -1.03179223 -0.90525978 -0.42291752  0.00718115 -0.34811511
 -0.77641625 -0.66621766 -0.57478023 -0.56628183 -0.66481066 -0.62048002
 -0.79479999 -1.26613828 -1.27947785 -1.46229311 -1.6186575  -1.22606111
 -1.01418292 -0.7544922  -0.90510476 -0.64859909 -0.08446793 -0.01018126
  0.0239846  -0.00440036 -0.79883171 -1.04586918 -0.33021004  0.17911786
  0.23210945  0.33935769  0.96729963  1.24920712  0.90573036  1.0131922
  1.26742838  0.94407246  0.42306464 -0.45884454 -1.11968064 -0.78375359
  0.20299176  0.67405633  0.33007589  0.36188321  0.77125538  0.92185799
  0.94422191  1.04885819  0.73116503  0.49830658]"
1130-none-231201-171233,cohort-1,group,Subject: 1130-none,1130,none,Date: 12/01/2023,Time: 5:12:40pm,1130,msh-vgat,368.95,being_approached,"[ 9.40294853e-01  1.29067763e+00  1.06667692e+00  9.04481916e-01
  7.83199748e-01  3.93516627e-01  2.79159626e-01  3.72080513e-01
  4.33763037e-01  1.18815530e-01 -4.46448878e-01 -8.45463137e-01
 -6.66415909e-01  3.88881351e-01  1.61161471e+00  2.02979329e+00
  1.83991319e+00  1.75790746e+00  1.42398908e+00  9.92684729e-01
  1.19550453e+00  8.88829284e-01  5.09973728e-01  6.45271116e-01
  2.87991491e-01 -1.95418568e-01 -2.20745353e-01  3.29265368e-01
  6.20221734e-01  6.07399931e-01  1.84621556e-01 -3.42330835e-01
 -2.38100511e-01 -5.30701188e-02 -1.21361055e-01  6.11911119e-01
  1.01623219e+00  4.24832256e-01 -1.72567295e-01 -6.40371933e-01
 -9.41087174e-01 -4.61867915e-01  1.02032258e+00  1.88234645e+00
  1.31344908e+00  1.04825723e+00  1.69478232e+00  1.88247365e+00
  1.42705618e+00  1.18186658e+00  1.10593528e+00  1.33297162e+00
  1.29808059e+00  1.27863990e+00  1.40026512e+00  5.94311668e-01
  4.53395027e-01  1.23349394e+00  1.96353666e+00  2.04902619e+00
  1.75400795e+00  1.99838374e+00  2.07753462e+00  1.81062798e+00
  1.31463258e+00  1.13305618e+00  1.10472395e+00  4.59345353e-01
 -3.60354047e-01 -1.20630192e+00 -1.83017403e+00 -1.89003953e+00
 -9.51452870e-01  1.31601101e-01  5.84622794e-01  1.21863431e+00
  1.46102687e+00  1.50203079e+00  2.02697999e+00  2.28597394e+00
  2.18196105e+00  1.68886117e+00  9.96186030e-01  5.22862260e-01
  4.02586111e-01  5.63341498e-01  9.22470377e-01  1.18053876e+00
  9.04305142e-01  2.43555109e-01  1.51488744e-03  4.83779506e-01
  8.57453565e-01  1.12080230e+00  9.78425277e-01  7.10236280e-01
  7.66739186e-01  1.02808109e+00  9.48797312e-01  1.93452840e-01
 -4.23770768e-01 -2.66330492e-01 -2.85184879e-01 -3.61302123e-01
 -5.00102953e-02  1.23707244e-01  3.72780921e-01  8.47239752e-01
  9.70750396e-01  1.08649315e+00  1.36237661e+00  1.27529210e+00
  9.54177794e-01  7.61649451e-01  9.80223200e-01  1.11878463e+00
  9.16205192e-01  8.05912548e-01  4.07734902e-01 -2.18217531e-01
 -2.42830034e-01 -2.77348942e-01 -5.83154689e-01 -4.97719106e-02
  5.17009282e-01  2.70151392e-01  2.35341534e-01  8.60153360e-01
  1.69274094e+00  2.19186233e+00  1.83289053e+00  1.74340704e+00
  2.49962187e+00  2.27069956e+00  1.67155738e+00  1.39313181e+00
  8.93361106e-01  8.08266632e-01  7.51622129e-01  4.91571488e-01
  7.36811460e-01  6.70047902e-01  5.22103961e-01  5.08734155e-01
  1.59129209e-02 -2.53119748e-01 -3.83839038e-01 -4.45948598e-01
  7.69610972e-02  9.49675387e-02 -2.84337376e-01  3.38303194e-02
  7.96800559e-02 -2.27506651e-01]"
